s_no,organization,problem_title,category,ps_number,submitted_ideas,theme,detail_url,domain_category
165,Ministry of Jal Shakti,"AI based chatbot for collating and dissemination of information on groundwater.×Problem Statement DetailsProblem Statement ID1697Problem Statement TitleAI based chatbot for collating and dissemination of information on groundwater.DescriptionThe Chatbot should be able to answer queries related to - water level scenario, hydrogeological scenario, water quality, available reports for an area. Additionally it should generate a comprehensive report of the Aol on - Ground Water Resource Assessment, Categorization of the area, GW management practices to be adopted, Conditions for obtaining NOC for ground water extraction, guidance on how to obtain NOC, definition of groundwater terms, training opportunities related to ground water etc.OrganizationMinistry of Jal ShaktiDepartmentDepartment of WR, RD & GRCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1697,Problem Statement Title,AI based chatbot for collating and dissemination of information on groundwater.,https://www.sih.gov.in/sih2024PS,others
175,"GAIL, Ministry of Petroleum and Natural Gas","Development of a Geolocation-Based Attendance Tracking Mobile Application.×Problem Statement DetailsProblem Statement ID1707Problem Statement TitleDevelopment of a Geolocation-Based Attendance Tracking Mobile Application.DescriptionDescription:
A mobile application needs to be developed to streamline and automate the attendance tracking of its employees across multiple office locations. This application will leverage geolocation technology to record employee check-in and check-out times along with geo-location as they enter and leave the office premises.
Aim of this App is to enhance operational efficiency, reduce manual attendance tracking errors, and provide a seamless experience for employees to manage their work-related movements. 

Key Requirements:
1) Geolocation-Based Check-In and Check-Out:
Automatically record check-in time and geo-location when an employee enters within a 200-meter radius of his office.
Record check-out time when the employee leaves the 200-meter radius.
Ensure that each check-in is paired with a corresponding check-out, regardless of the frequency of entries and exits.
2) Manual Location Check-In / Check-Out for Offsite Work:
Provide a manual check-in and check-out feature for employees working at locations other than his offices.
Automatically suggest relevant locations based on real-time longitude and latitude data, allowing employees to confirm their check-in and check-out at these suggested locations.
3) Calculate the employees total working hours.
4) Data Accuracy and Integrity:
Ensure the application maintains accurate and tamper-proof records of all check-in and check-out events.
Enable real-time data synchronization and secure storage to prevent data loss and ensure reliability.
Youtube Link/Video Link (3 Minute video explaining the Problem Statement): 
https://youtu.be/bmw8unoxA7U 

NOTE : GAIL (INDIA) LTD will not provide any hardware, software, license, data or any other resource to SIH hackathon Teams. The teams should use free and/or open-source resources, as applicable, for the entire project.OrganizationGAIL, Ministry of Petroleum and Natural GasDepartmentGAIL LimitedCategorySoftwareThemeMiscellaneousYoutube Linkhttps://youtu.be/bmw8unoxA7UDataset LinkContact info",Problem Statement ID,1707,Problem Statement Title,Development of a Geolocation-Based Attendance Tracking Mobile Application.,https://www.sih.gov.in/sih2024PS,others
183,Ministry of Social Justice and Empowerment,"Indian Sing Language to Text/Speech translation×Problem Statement DetailsProblem Statement ID1716Problem Statement TitleIndian Sing Language to Text/Speech translationDescriptionCreate a solution that translates Indian Sign Language (ISL) into text and speech in real-time, facilitating communication for the deaf and hard-of-hearing community with the hearing world. The application should be capable of recognizing and interpreting a comprehensive library of ISL signs and gestures, and then provide accurate text and speech output in multiple Indian languages.OrganizationMinistry of Social Justice and EmpowermentDepartmentIndian Sign Language Research and Training Centre (ISLRTC)CategorySoftwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1716,Problem Statement Title,Indian Sing Language to Text/Speech translation,https://www.sih.gov.in/sih2024PS,others
184,Ministry of Social Justice and Empowerment,"Indian Version of Nagish App×Problem Statement DetailsProblem Statement ID1717Problem Statement TitleIndian Version of Nagish AppDescriptionDevelop a mobile application that enables real-time voice-to-text and text-to-voice translation for Indian regional languages, aimed at assisting individuals with hearing and speech impairments to communicate effectively. The app should support multiple Indian languages and dialects, be user-friendly, and have a simple interface for easy navigation.

Key Features to Include:

Real-time voice-to-text translation for Indian regional languages.
Text-to-voice feature to convert typed text into spoken words in the selected Indian language.
Support for multiple Indian languages and dialects, with the ability to easily switch between them.
An intuitive user interface that is accessible for individuals with hearing and speech impairments.
Offline functionality for basic translations without the need for an internet connection.
Integration with other communication apps to allow for seamless translation during conversations.
Privacy-focused design to ensure user data is secure and not shared without consent.
Challenges to Address:

Ensuring high accuracy in voice recognition and translation, considering the diverse accents and dialects within Indian languages.
Developing a text-to-speech engine that sounds natural and is easy to understand.
Creating an interface that is inclusive and easy to use for individuals with varying levels of tech-savviness.
Balancing app performance with offline capabilities to ensure it remains functional in areas with poor internet connectivity.
This problem statement aligns with the need for inclusive communication tools and leverages technology to bridge the gap for those with hearing and speech impairments. It also presents an opportunity to innovate in the field of language translation and speech recognition technology.OrganizationMinistry of Social Justice and EmpowermentDepartmentIndian Sign Language Research and Training Centre (ISLRTC)CategorySoftwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1717,Problem Statement Title,Indian Version of Nagish App,https://www.sih.gov.in/sih2024PS,others
190,National Aluminium Company Limited (NALCO),"Prediction of Aluminium wire rod physical properties through AI, ML or any modern technique for better productivity and quality control.×Problem Statement DetailsProblem Statement ID1723Problem Statement TitlePrediction of Aluminium wire rod physical properties through AI, ML or any modern technique for better productivity and quality control.DescriptionBackground:
Auminium wire rod is produced in Wire rod mills of cast house, where an aluminium cast bar of trapezoidal cross section having area 3437 sq. mm is first casted and then further rolled by 15 nos. of stand in series to gradually reduce the cross section to obtain final 9.5 mm diameter rod.
Description:
The casting parameters that affects the wire rod properties like UTS, Elongation and Conductivity are dependent on chemical composition, casting temp. Cooling water temp. , Casting speed, Cast bar entry temperature at rolling mill, Emulsion temperature and pressure at rolling mill, Emulsion concentration and finally rod quench water pressure. These parameters are dynamic in nature and any deviation on one of the above affects the final rod properties.
Expected Solution:
Use of AI, ML or any modern technique to analyze those parameters and control them to effectively obtain the final desired parameters of the Wire rod produced.OrganizationNational Aluminium Company Limited (NALCO)DepartmentNational Aluminium Company Limited (NALCO)CategorySoftwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1723,Problem Statement Title,"Prediction of Aluminium wire rod physical properties through AI, ML or any modern technique for better productivity and quality control.",https://www.sih.gov.in/sih2024PS,others
199,Indian Space Research Organization (ISRO),"Enhancement of Permanently Shadowed Regions (PSR) of Lunar Craters Captured by OHRC of Chandrayaan-2×Problem Statement DetailsProblem Statement ID1732Problem Statement TitleEnhancement of Permanently Shadowed Regions (PSR) of Lunar Craters Captured by OHRC of Chandrayaan-2DescriptionDescription: This project aims to enhance (Low Light Image Enhancement) the feeble light reflected from PSR regions of Lunar craters into a better SNR image for interpretations.
Challenge: Feeble signal to better signal image generation.
Low light image noise removal.
Usage: For generating first of its kind PSR image map of lunar poles captured by OHRC of Chandrayaan-2.
Users: Landing site selection users and geomorphological application users.
Available Solutions (if Yes, reasons for not using them): Specific solution of Chandrayaan-2 needs to be developed. General techniques and algorithms are available.
Desired Outcome: Software for generating low light image enhancement.OrganizationIndian Space Research Organization (ISRO)DepartmentIndian Space Research Organisation (ISRO)CategorySoftwareThemeSpace TechnologyYoutube LinkDataset LinkContact infohttps://vedas.sac.gov.in/en/sih2024.html",Problem Statement ID,1732,Problem Statement Title,Enhancement of Permanently Shadowed Regions (PSR) of Lunar Craters Captured by OHRC of Chandrayaan-2,https://www.sih.gov.in/sih2024PS,others
202,Indian Space Research Organization (ISRO),"On-device semantic segmentation of WMS services with geospatial data export×Problem Statement DetailsProblem Statement ID1735Problem Statement TitleOn-device semantic segmentation of WMS services with geospatial data exportDescriptionDescription: Develop a mobile or desktop (qgis plugin) or web application that uses on-device GPU/NPU for interactive semantic segmentation on images loaded using WMS service.
Challenge: To ensure the system is user-friendly and accessible, even for non-technical users.
To utilize the computational power of GPUs/NPUs to enhance the performance and responsiveness of the system and reduce reliance on server side GPU compute.

Usage: Useful for assisting on-screen digitization for various remote sensing applications.
Users: WebGIS application developers and the end users of these applications.
Available Solutions (if Yes, reasons for not using them): Individual components are available, comprehensive and proven solution does not exist.
Desired Outcome:
1. The tool should be compatible with and OGC compatible WMS service.
2. It should provide data export in geospatial format of user selected features (geojson/kml).
3. It should make maximum utilisation of on-device GPUs/NPUs available in modern desktop/mobile devices.OrganizationIndian Space Research Organization (ISRO)DepartmentIndian Space Research Organisation (ISRO)CategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact infohttps://vedas.sac.gov.in/en/sih2024.html",Problem Statement ID,1735,Problem Statement Title,On-device semantic segmentation of WMS services with geospatial data export,https://www.sih.gov.in/sih2024PS,others
203,Indian Space Research Organization (ISRO),"AI based frame interpolation, video generation and display system for WMS services×Problem Statement DetailsProblem Statement ID1736Problem Statement TitleAI based frame interpolation, video generation and display system for WMS servicesDescriptionDescription: Develop a system that automatically generates videos using frame interpolation techniques given a WMS service that provides satellite imagery at regular intervals (e.g. every 30 minutes) and a bounding box. The AI based video generator should interpolate frames (for e.g. at every minute between 30 minutes) for smooth visualization of moving objects. This video should be displayed on an interactive browser based map (using openlayers or leaflet). 
Challenge: Frame interpolation of objects such as clouds which are deformable and even appear disappear between frames.
Overlaying videos on web based map visualization libraries is straightforward on commercial libraries such as mapbox. Developing the same functionality for modern open-source webgis libraries will be an added effort.
Usage: Can be implemented for visualization on VEDAS/MOSDAC/BHUVAN
Users: WebGIS application developers and the end users of these applications.
Available Solutions (if Yes, reasons for not using them): Individual components are available, comprehensive and proven solution does not exist.
Desired Outcome: 
The tool should be compatible with and OGC compatible WMS service.
Should demonstrate video visualization overlay on an OpenLayers (> version 6) web map. 
Bonus points for utilisation of on-device GPUs/NPUs available in modern desktop/mobile devices. (not mandatory)OrganizationIndian Space Research Organization (ISRO)DepartmentIndian Space Research Organisation (ISRO)CategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact infohttps://vedas.sac.gov.in/en/sih2024.html",Problem Statement ID,1736,Problem Statement Title,"AI based frame interpolation, video generation and display system for WMS services",https://www.sih.gov.in/sih2024PS,others
204,Indian Space Research Organization (ISRO),"Automatic Modulation Recognition software for DVB -S2X waveforms×Problem Statement DetailsProblem Statement ID1737Problem Statement TitleAutomatic Modulation Recognition software for DVB -S2X waveformsDescriptionDescription: DVB -S2X waveforms is have various types of modulation scheme like QPSK, APSK etc. The selection of modulation scheme is based upon channel. A novel AMR based soft algorithm is need to develop to detect the DVB S2X modulation waveform on ground in order to synchronized the ground receiver from satellite
Challenge:
1. To develop the algorithm compliant to existing DVB S2X waveform. 
2. To ensure the develop algorithm should not complex to implement and not taking much hardware resources.
3. To integrate all DVB S2X waveform together and having a single detection algorithm.

Usage: To develop Automatic modulation recognition algorithm of software define radio based upon DVB S2X waveform.
Users: All software define radio user who are designing the new SDR based upon DVB S2X waveform will required this algorithm.
Available Solutions (if Yes, reasons for not using them): Solution exits but more versatile, less complex and more generic nature algorithms is required, which can accommodate future waveform also
Desired Outcome: Develop a tool or proof-of-concept model. The solution should be able to detect and recognize DVB S2X waveform, data rate and other modulation parameter. The model should be scalable to accommodate all current DVB S2X waveform and also able to accommodate future waveform also.OrganizationIndian Space Research Organization (ISRO)DepartmentIndian Space Research Organisation (ISRO)CategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact infohttps://vedas.sac.gov.in/en/sih2024.html",Problem Statement ID,1737,Problem Statement Title,Automatic Modulation Recognition software for DVB -S2X waveforms,https://www.sih.gov.in/sih2024PS,others
246,Ministry of Information and Broadcasting,"An online system to automatically verify new title submissions by checking for similarities with existing titles×Problem Statement DetailsProblem Statement ID1782Problem Statement TitleAn online system to automatically verify new title submissions by checking for similarities with existing titlesDescriptionBackground: Press Registrar General of India (PRGI) maintains a database containing approximately 160,000 titles. When a user submits a new title for verification, we need to check its similarity against the existing titles in our database. The goal is to ensure that the new title does not duplicate or closely resemble any existing title to avoid confusion and maintain uniqueness. Additionally, the system must enforce specific guidelines to ensure that certain words are not used, combinations of existing titles are not allowed, and titles with similar meanings or periodicity modifications are rejected. Problem Description Develop a system to automatically verify new title submissions by checking for similarities with existing titles in the database and ensuring compliance with specific guidelines. The system should reject titles that are too similar to existing ones, contain disallowed words, or violate other outlined rules. Additionally, the system should provide a probability score indicating the likelihood of a title being verified. Requirements: 1.        Similarity Check: a.        Implement a mechanism to check for similar-sounding names using phonetic similarity algorithms (e.g., Soundex, Metaphone). b.        Identify titles that have common prefixes or suffixes (e.g., The, India, Samachar, News). c.        Ensure that variations in spelling or slight modifications do not bypass the similarity check (e.g., Namaskar vs. Namascar). d.        Calculate a similarity percentage for each title comparison.  2.        Prefix/Suffix Handling: a.        Maintain a list of disallowed prefixes and suffixes. b.        Reject any new titles that include these disallowed prefixes or suffixes if they cause the new title to resemble an existing title closely. 3.        Guideline Enforcement: a.        Maintain a list of disallowed words (e.g., Police, Crime, Corruption, CBI, CID, Army). b.        Ensure that titles containing these disallowed words are rejected. c.        Prevent the creation of new titles by combining existing ones (e.g., if ""Hindu"" and ""Indian Express"" exist, ""Hindu Indian Express is not allowed"").  d.        Check for titles with similar meanings in other languages and reject them (e.g., ""Daily Evening"" and ""Pratidin Sandhya""). e.        Disallow adding periodicity (e.g., daily, weekly, monthly) to existing titles to form new ones. 4.        Verification Probability: a.        Provide a probability score indicating the likelihood of a title being verified. 5.        Database Interaction: a.        Efficiently search and compare new titles against the database of 160,000 titles. b.        Track current applications and use them for future reference to reject similar titles submitted later. c.        Use indexing and optimised search techniques to handle the large dataset and ensure quick responses. 6.        User Feedback: a.        Provide clear feedback to the user if their submitted title is too similar to an existing title, contains disallowed prefixes/suffixes, violates guidelines, or is created by combining existing titles. b.        Display the verification probability to the user. c.        Allow the user to modify their title and resubmit it for verification. 7.        Scalability: a.        Design the system to handle an increasing number of titles and user submissions. b.        Ensure that the system remains performant as the database grows. Expected Solution: 1.        The system will provide the probability of a title being verified. For instance, if a title has a similarity score of 80%, the verification probability shall not be more than 100%-80%=20% 2.        The system will reject any new title that is too similar to existing ones, contains disallowed words or prefixes/suffixes, combines existing titles, or has similar meanings in other languages. 3.        The system will track current applications and use them for future reference, rejecting similar titles submitted later by other users. Acceptance Criteria: 1.        Accuracy: a.        The system correctly identifies similar-sounding titles and provides consistent results. b.        The system accurately rejects titles with disallowed prefixes, suffixes, and words. c.        The system prevents the creation of titles by combining existing titles and identifies titles with similar meanings in other languages. d.        The system disallows adding periodicity to existing titles. e.        The system provides an accurate verification probability score. 2.        Performance: a.        Title verification is completed within a reasonable time frame (e.g., under 2 seconds per title). b.        The system can handle multiple title verification requests simultaneously without significant performance degradation. 3        User Experience: a.        Users receive clear and actionable feedback on why their title was rejected. b.        Users see a probability score indicating the likelihood of their title being verified. c.        The interface for title submission and feedback is user-friendly and intuitive. 4        Robustness: a.        The system handles edge cases and variations in spelling effectively. b.        The system is resilient to errors and provides meaningful error messages when issues occur.OrganizationMinistry of Information and BroadcastingDepartmentMinistry of Information and BroadcastingCategorySoftwareThemeMiscellaneousYoutube LinkDataset Linkhttps://drive.google.com/drive/folders/13p8Z_XU9oJjzHiiJI8HSGBgFQFCOC76E?usp=sharingContact info",Problem Statement ID,1782,Problem Statement Title,An online system to automatically verify new title submissions by checking for similarities with existing titles,https://www.sih.gov.in/sih2024PS,others
249,Madhya Pradesh Police,"Universal Programming Kit×Problem Statement DetailsProblem Statement ID1785Problem Statement TitleUniversal Programming KitDescriptionBackground: Different types of programming kits are being used to program radio sets according to their make/model. Universal programming kit should be used to program all types of radios.
Description: The above problem statement envisages that universal programming kit to be developed to program all types of radios. Universal programming kit should be free from make/model of radios.
Expected Solution: Separately determined programming kit for different make/models of radios will not be essentially required. All radios could be programmed with the help of universal programming kit.OrganizationMadhya Pradesh PoliceDepartmentMadhya Pradesh PoliceCategorySoftwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1785,Problem Statement Title,Universal Programming Kit,https://www.sih.gov.in/sih2024PS,others
250,Madhya Pradesh Police,"A Software, AI App to provide legal information ie. Case laws various important landmark judgement on important case legal matters.×Problem Statement DetailsProblem Statement ID1786Problem Statement TitleA Software, AI App to provide legal information ie. Case laws various important landmark judgement on important case legal matters.DescriptionBackground: Due to unavailability of legal experts in Police stations, whenever a complainant comes to us with his/her complaint to get a First Information Report written sometimes we make mistakes in writing all the sections/acts due to which problems arise in the investigation later on.
Description: Whenever a complainant comes to the police station with his/her complaint to get the First Information Report written, the investigating officer sometimes due to ignorance or lack of experience is not able to follow the provisions and the First Information Report remains deficient. Due to which, later on, problems arise in the investigation and justice gets affected, as legal experts are not posted at police stations. If there will be any such software or app which can use Artificial Intelligance (AI) and immediately provide us the information regarding appropriate and correct sections and acts, as per the incident of the complainant. So there will be no errors regarding the sections and acts under the First Information Report and the investigation and justice will not be affected and will help in investigation.
Expected Solution: We want a software (app) in which as soon as we write/speak the details of the incident, information about appropriate sections and acts is immediately available to us and which is reliableOrganizationMadhya Pradesh PoliceDepartmentMadhya Pradesh PoliceCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1786,Problem Statement Title,"A Software, AI App to provide legal information ie. Case laws various important landmark judgement on important case legal matters.",https://www.sih.gov.in/sih2024PS,others
251,Madhya Pradesh Police,"Fuzzy Name conversion of Hindi Names in Police Records×Problem Statement DetailsProblem Statement ID1787Problem Statement TitleFuzzy Name conversion of Hindi Names in Police RecordsDescriptionThe police department handles a vast array of data including the names of individuals involved in various activities such as reporting incidents, being suspects. witnesses, or victims. A significant challenge arises with the accurate recording and retrieval of these names, especially when dealing with Hindi names. which can be represented in multiple ways due to variations in transliteration, spelling, and pronunciation.  Issues Faced 1. Inconsistent Transliteration: Hindi names often have multiple valid English transliterations. For example, the name Suresh in hindi could be written as ""Suresh"" or ""Sursh"". This inconsistency creates difficulties in searching and matching records accurately. 2. Spelling Variations: Minor spelling differences. such as ""Suresh"" vs. ""Sursh"", can lead to significant discrepancies in the database, resulting in incomplete or incorrect search results. 3. Phonetic Similarity: Different names that sound similar phonetically but have different spellings can be a challenge. For instance, ""Kumar"" and ""Kumaar"" may refer to the same individual but are treated as distinct entries in the system. 4. Data Entry Errors: Human errors during data entry can introduce further variations, such as typos or incorrect transliterations, making it harder to maintain accurate and consistent records. 5. Multiple Scripts: The use of both Devanagari (Hindi script) and Roman script adds another layer of complexity. A name recorded in Hindi may need to be searched in its English transliterated form. and vice versa. 6. Search Efficiency: Traditional search algorithms may not effectively handle these variations, leading to inefficiencies in retrieving relevant records during investigations or administrative processes  Impact on Operations  1. Delayed Investigations: Inaccurate name matching can lead to delays in criminal investigations as officers struggle to retrieve all relevant records associated with a particular individual. 2. Resource Wastage: Additional resources are required to manually cross-check and verify records that the system fails to match automatically, increasing operational costs and workload. 3. Legal Implications: Inaccurate or incomplete records can have serious legal implications, potentially affecting the outcomes of cases and leading to miscarriages of justice. 4. Public Trust: Inefficiencies and inaccuracies in handling sensitive information can erode public trust in the police department's ability to manage and process data effectively.  Solution Requirements 1. Fuzzy Matching Algorithms: Implement advanced fuzzy matching algorithms capable of handling variations in spelling, transliteration, and phonetic similarities. 2. Standardized Transliteration: Establish and enforce standardized rules for the transliteration of Hindi names into English inconsistencies. to minimize 3. Phonetic Search Capability: Develop search capabilities that consider phonetic similarities to improve the accuracy of name matching. 4. Error Correction Mechanisms: Integrate error correction mechanisms to identify and rectify common data entry errors. 5. Script Interoperability: Ensure seamless interoperability between Devanagari and Roman scripts to facilitate accurate searches across different scripts. 6. Training and Guidelines: Provide training to personnel on best practices for name entry and establish clear guidelines to minimize errors and inconsistencies. By addressing these issues, the police department can significantly enhance the accuracy and efficiency of its name matching processes, leading to more effective law enforcement operations and improved public trust.OrganizationMadhya Pradesh PoliceDepartmentMadhya Pradesh PoliceCategorySoftwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1787,Problem Statement Title,Fuzzy Name conversion of Hindi Names in Police Records,https://www.sih.gov.in/sih2024PS,others
S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,,others
S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,,others
S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,,others
S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,,others
S.No.,Organization,Problem Statement Title,Category,PS Number,Submitted Idea(s) Count,Theme,,others
