s_no,organization,problem_title,category,ps_number,submitted_ideas,theme,detail_url,domain_category
139,Ministry of Electronics and Information Technology,"Develop a functional solution that demonstrates the face liveness detection×Problem Statement DetailsProblem Statement ID1671Problem Statement TitleDevelop a functional solution that demonstrates the face liveness detectionDescription1. Background. UIDAI is building a browser-based face authentication platform, which will enable the aadhaar number holders to start and end the face authentication on the same device i.e desktop, mobile or tab. One of the key drivers for the success of the solution is face liveness detection in the browser context. This challenge seeks an
innovative approach to implement face liveness using ML models which can be used in all forms of interfaces.
2. Problem Description. As part of the challenge, participating teams to develop passive or active liveness detection models that can be used in the browser context to prevent the use of photo-of-photo, video or any form of face spoofing mechanism. Teams may opt for passive - which would the use environment to detect the liveness of the actor or active - which engages the aadhaar number holder for some ├ö├ç┬úaction├ö├ç├ÿ to detect the liveness. 
The proposed solution must meet the following functional objectives.
3. The proposed solution must meet the following objectives.
3.1 Feature Requirement. Liveness detection of the Actor in the edge.
Liveness detection to happen in the browser (Chrome/Firefox/Edge context using ONNX or Tensor.js framework.
3.2 Model Inference Time. Liveness detection should be completed within 500ms for enhanced user experience.
3.3 Mode. The model may use active or passive or a combination of both to detect the liveness of the actor. 3.4 Model Size. The liveness model must not be more than 5Mb, so that it can be downloaded in the narrow bandwidth (3G/4G/5G) network without impacting the page load timing.
4. Expected Solution. The expected outcome of this project is a functionalsolution that demonstrates the face liveness detection in the edge.OrganizationMinistry of Electronics and Information TechnologyDepartmentCo-ordination DivisionCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1671,Problem Statement Title,Develop a functional solution that demonstrates the face liveness detection,https://www.sih.gov.in/sih2024PS,environment
140,Ministry of Electronics and Information Technology,"Develop a ML Model based solution to refine CAPTCHA.×Problem Statement DetailsProblem Statement ID1672Problem Statement TitleDevelop a ML Model based solution to refine CAPTCHA.Description1. Background. UIDAI has multiple portals on the Internetfor resident engagement and back office operations. These portals are protected with CAPTCHA for denial of service- related attacks. UIDAI believes that CAPTCHA is a barrier to smooth resident engagement with the aadhaar portals and therefore intends to remove it soon. Instead of
active CAPTCHA, UIDAI is looking for a passive solution that can differentiate between a bot and a human operator.
2. Problem Description. As part of the challenge, participating teams to develop a solution, mostly following a passive approach through collection of environmental parameters and using AI/ML to analyze it in the backend to differentiate between bot and human-being. The passive solution may capture environmental details
through the browser context and analyze the same with the help of ML models deployed in the backend. This solution, once accepted would be used by the UIDAI to protect all backend APIs from DoS/DDoS based vulnerabilities. 
The solution must meet the following requirements:-
3. The proposed solution must meet the following objectives.

3.1 Feature Requirements. The solution must define the list of environmental parameters that need to be captured to differentiate between a bot and a human being. If passive parameter analysis is unable to differentiate, then
the user may be asked to do a few minimal interactions with the portal. User experience is important to UIDAI and hence human interaction is to be limited.
3.2 Frontend code to capture environmental or human interaction data must be compliant with the javascript framework. Participating teams may choose to use any framework like React/TypeScript/Flutter to demonstrate the solution.
3.3 As part of the solution, the required backend ML model to analyze the front- end capture of environment parameters or human interaction data must be developed to demonstrate the solution. The ML model must be pluggable so that it can be integrated with the UIDAI application stack to protect the APIs.
3.4 The solution must adhere to the core privacy policies of UIDAI.
5. Expected Solution. The solution must be complete with both frontend and backend design, corresponding code and ML model to demonstrate the solution.OrganizationMinistry of Electronics and Information TechnologyDepartmentCo-ordination DivisionCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1672,Problem Statement Title,Develop a ML Model based solution to refine CAPTCHA.,https://www.sih.gov.in/sih2024PS,environment
154,National Technical Research Organisation (NTRO),"Tools and techniques for customisation of GPO as per CIS 
guidelines to deploy on offline / standalone windows.×Problem Statement DetailsProblem Statement ID1686Problem Statement TitleTools and techniques for customisation of GPO as per CIS 
guidelines to deploy on offline / standalone windows.DescriptionBackground: Group Policy Objects (GPOs) are powerful tools in Windows environments, used to centrally manage and enforce system settings, security configurations, and user preferences across a network of computers. The Center for Internet Security (CIS) provides detailed guidelines and benchmarks for securing various operating systems, including Windows 10 and 11. Implementing CIS benchmarks through
customized GPOs ensures that systems adhere to industry best hardening practices, reducing vulnerabilities and enhancing overall security posture.
Detailed Description :
a) Deploying customized GPOs, based on CIS guidelines or user requirements is essential for hardening Windows systems. It will help in ensuring robust security and maintaining compliance with industry standards. 
(b) The guidelines contain multiple system configurations in terms of registry settings and group policy settings. Deploying of these settings as per user requirement is a daunting task, considering the availability of limited tools and human-intensive efforts. 
(c) Present problem statement is an attempt to explore the possible tools and techniques to automate the task of generating and managing the GPOs as per user requirements for various types of systems including airgapped/standalone machine.
Expected Solution: Following functionalities have been envisaged for the expected solution: - 
(a) To create, edit and manage GPOs as per CIS guidelines and user requirements, if needed. 
(b) The customised GPOs generated should be deployable on airgapped / standalone system. 
(c) To maintain multiple group / category of system hardening settings with appropriate documentation to define the configuration details for each of the group / category. 
(d) Import / Export of configuration details for catering to user requirement to maintain multiple group / category of system configurations. 
(e) Tool should be able to import documentation from CIS guidelines available in PDF format. 
(f) Envisaged tool should support in deploying GPOs on the target machine. 
(g) Envisaged tool should support in testing and auditing of system configurations on the target machineOrganizationNational Technical Research Organisation (NTRO)DepartmentNational Technical Research Organisation (NTRO)CategorySoftwareThemeSmart AutomationYoutube LinkDataset Linkhttps://www.cisecurity.org/benchmark/microsoft_windows_desktopContact info",Problem Statement ID,1686,Problem Statement Title,"Tools and techniques for customisation of GPO as per CIS 
guidelines to deploy on offline / standalone windows.",https://www.sih.gov.in/sih2024PS,environment
157,Ministry of Jal Shakti,"Use of Digital Technology to calculate Water Footprints for different Agricultural Products×Problem Statement DetailsProblem Statement ID1689Problem Statement TitleUse of Digital Technology to calculate Water Footprints for different Agricultural ProductsDescriptionBackground 
The water footprint measures the amount of water used to produce each of the goods and services we use. The water footprint helps us understand for what purposes our limited freshwater resources are being consumed. The impact of it depends on where the water is taken from and when, if it comes from a place where water is already scarce, the consequences can be significant and require action. 
Detailed Description 
The increase in the amount of non-available water due to pollution and scarce groundwater level has added more water footprints, at the community as well as at the personal levels. An increased 
Ôö¼├Ç water footprint directly affects the health and future of the citizens. Preventing severe drought in water-stressed areas is only going to be possible if water is used with more care and efficiency, this can be achieved if we have readily available data of water footprints. 
Expected Solution 
Hence, by using digital technologies like AI, Big Data, Block chain etc. and computer languages, a user friendly app or website may be developed which can provide the water footprints of different items/ final products we eat by feeding little inputs like name, or just by scanning through camera like Google lens. The app should support local languages; this will ensure the pan India usage and sensitize the people about water footprints of items they use in daily life.OrganizationMinistry of Jal ShaktiDepartmentDepartment of WR, RD & GRCategorySoftwareThemeClean & Green TechnologyYoutube LinkDataset LinkContact info",Problem Statement ID,1689,Problem Statement Title,Use of Digital Technology to calculate Water Footprints for different Agricultural Products,https://www.sih.gov.in/sih2024PS,environment
158,Ministry of Jal Shakti,"Use of Digital Knowledge Sharing Platform like Wikis on sharing of water efficient techniques and methods for minimizing water scarcity.×Problem Statement DetailsProblem Statement ID1690Problem Statement TitleUse of Digital Knowledge Sharing Platform like Wikis on sharing of water efficient techniques and methods for minimizing water scarcity.DescriptionBackground: 
The absence of a centralized knowledge-sharing platform like wikis significantly hampers the dissemination of water-efficient techniques, which could mitigate water scarcity. Despite the existence of various methods to conserve water, especially in agriculture, the lack of awareness and accessibility to this information perpetuates inefficient water use. This gap in knowledge sharing contributes to the overuse of water resources and exacerbates water stress, particularly in regions where agriculture is heavily dependent on irrigation. Establishing a comprehensive, accessible platform could catalyze the adoption of sustainable practices, crucial for addressing the global challenge of water scarcity. 
Detailed Description: 
A centralized knowledge-sharing platform akin to Wikis would facilitate the exchange of innovative methods, successful case studies, and research findings, fostering local and global collaboration. Without it, valuable insights remain siloed, hindering the adoption of practices that could conserve water resources and enhance sustainability. The creation of an accessible, comprehensive repository of water conservation strategies is thus critical for addressing the pressing challenge of water scarcity worldwide. 
Expected Solution: 
To address the lack of knowledge sharing platforms on water efficiency, creating a dedicated wiki-style database is the key. This platform would host peer-reviewed articles on water-saving techniques, community forums for sharing local knowledge, videos and interactive tools for calculating water usage and savings. Additionally, integrating social media sharing can amplify reach and engagement, while mobile app development ensures accessibility for users in remote areas, contributing significantly to the reduction of water scarcity globally.OrganizationMinistry of Jal ShaktiDepartmentDepartment of WR, RD & GRCategorySoftwareThemeClean & Green TechnologyYoutube LinkDataset LinkContact info",Problem Statement ID,1690,Problem Statement Title,Use of Digital Knowledge Sharing Platform like Wikis on sharing of water efficient techniques and methods for minimizing water scarcity.,https://www.sih.gov.in/sih2024PS,environment
159,Ministry of Jal Shakti,"Adaption of 'Existing Command Area in Response to Shifting of Agricultural Practices×Problem Statement DetailsProblem Statement ID1691Problem Statement TitleAdaption of 'Existing Command Area in Response to Shifting of Agricultural PracticesDescriptionBackground 
Many existing Dams and Reservoirs are built several decades ago with certain intended purposes. However, due to increasing population, change in extreme climatic conditions, improvement in agricultural practices there is a necessity for re-evaluation of the current infrastructure and water management practices. 
Description 
It is likely that existing dams get silted up over time and are unable to store sufficient water. Due to which there will be a shift in the command area or the cropping pattern. It is also a known fact that changing climate issues is also posing a problem, due to which there is need to review the agricultural requirement. The existing dams and reservoirs are increasingly vulnerable to the adverse climate change and shifts in agricultural practices. These changes can lead to structural stress, altered water availability and inefficiencies in water distribution and usage. There is an urgent need to develop and implement new monitoring and water management models to ensure the safety, efficiency, and sustainability of these critical infrastructures. 
Expected Solution 
This problem will address the safety and resilience of dams and reservoirs against climate - induced risks, enhance water resources management and optimally support the agricultural needs and environmental sustainability. There will also be a long-term planning of water 
infrastructure in the face of climate and agricultural changes. 
This needs work on the Hydrological impact due to changes in the climatic conditions, which in turn effect the water demand in the command area. The changing technology, and adaption of new agricultural practices should be taken into account. It is essential to implement a decision support system along with predictive analysis that provide insights to the water managers and policy makers on real-time data.OrganizationMinistry of Jal ShaktiDepartmentDepartment of WR, RD & GRCategorySoftwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1691,Problem Statement Title,Adaption of 'Existing Command Area in Response to Shifting of Agricultural Practices,https://www.sih.gov.in/sih2024PS,environment
162,Ministry of Jal Shakti,"Real-time Ganga river water quality forecasting using AI- enabled DSS, satellite data, IoT, and dynamic models.×Problem Statement DetailsProblem Statement ID1694Problem Statement TitleReal-time Ganga river water quality forecasting using AI- enabled DSS, satellite data, IoT, and dynamic models.DescriptionBackground: Namami Gange is a flagship program of the government of India for the rejuvenation of Ganga and its tributaries. NMCG Authority order of Oct 2016 States the the pollution in River Ganga and its tributaries shall also be monitored by use of satellite and other remote sensing technologies.
As pupulations increase in the Ganga Basin, there are growing water demands, and hence higher levels of sewage flow into rivers of the Ganga Basin from both rural and urban areas. Excess untreated water entering the Ganga river systems transports high organic and pathogen loads. Their use generates high levels of pollution with significant organic loads, with very high Biochemical Oxygen Demand. This will inevitably lower Dissolved Oxygen (DO) concentrations in rivers, thereby threatening fisheries and biodiversity (maacroinvertebrates). At the same time, the high sewage discharges affect the suitability of the river for bathing due to the higher levels ofpathogens in rivers. With climate change increasing the frequency and intensity of rainfall events, this is becoming a significant problem, threatening the water quality and ecology of Ganga river system. The societal impact of providing forecast data that is easily and openly accessible will change how we see and value our rivers and enable citizens to make better decisions based on better data for our health and the health of the rivers of Ganga Basin.
Description: An AI-enabled decision support system may be developed to Integrate data from multiple sources such as satellite data, IOT-based sensor-generated data, intrumental meteorological measurements, in-situ flow, water quality observations, and miltiple hydrological & hydrodynamic models to work together in real-time to generate historical patterns of behaviour and water quality forecasts for Ganga River.
Model source code can be seamlessly incorporated into a cloud platform infrastructure. The models may receive daily inputs of current and forecasted precipitation and temperature data that drive real-time observations, may be stored in a time series database and automated workflows continually check observations against forecasts. The observed data may act as ground truth and help fine-tune the model's parameters and predictions. This dynamic calibration process may endure the system adapts to changing environmental conditions. The entire workflow may operate within a Software as a Service (SaaS) platform, making it accessible to a wide range of users and organization. Users can access the daily water quality forecasts through an intuitive and user-friendly interface, allowing them to set up early warning alert and conduct scenario modeling.
The overall strategy for the forecasting scheme synthesizes satellite data collected across the basin or watershed which is them linked to a model chain to generate flow and water quality data at key locations down a Ganga river system. The daily time series of flow and water quality data can then be displayed online or via a mobile app, to show recent and past changes in water quality. The system should forecast future flows and water quality, up to 3-5 days ahead. This then provides a warning system for operational managers who might want to switch supplies if a significant pollution pulse is moving down the river system. Also, rather like weather forecasts, a probability can be assigned to any forecast, so that users can evaluate predictions in terms of a familiar risk assessment. Regulatory agencies can make use of the system and App to help validate environment agency sampling at locations of interest that are not formal sample points for compliance, and for tracking pollution incidents that occur along river systems.
Expected Solution: 1. To prepare an AI-enabled decision support system with focus on predictive and adaptive (query based) solutions. A mobile app is envised that utilizes satelliter data to procduce real-time forecasts of flow and water quality using hydrological & hydro dynamical models at multiple locations in a river network.
a. To create historical simulations of flow and water quality, as well as a three to 5 day ahead forecast at any location down the Ganga River, and to provide a tool that scientists, managers, or the general public might use.
b. Dashboard may show the following options 
i. Ganga River set up a map with options for plotting flow, nitrate, ammonia, phosphorus, DO,BOD,Fecal Coliform and; etc.
ii. It may show a time series plot of paramenters such as rainfall, flow, DO, BOD, Fecal Coliform and nitrate for the Ganga River over the past 10 days and a forecast ahead of 3 days.
2. Alrets can be sent out to decision makers providing notice of an extreme event, e.g., pollution discharge, combined sewer pverflows discharges, high pathogen events, or a pulse of high nitrate water moving down the river system.
3. DSS-based post-project monitoring to validate the benefit of government investments.OrganizationMinistry of Jal ShaktiDepartmentDepartment of WR, RD & GRCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkDaily precipitation & Temperature: IMD (https://mausam.imd.gov.in/)
 Satellite Data & Land Use: Bhuvan (https://bhuvan.nrsc.gov.in/home/index.php)
 Population: Census of India (https://indiawris.gov.in/wris/#/home)
 (https://floodobservatory.colorado.edu/DischargeAccess.html)
 River water Quality: https://cpcb.nic.in/nwmp-data/Contact info",Problem Statement ID,1694,Problem Statement Title,"Real-time Ganga river water quality forecasting using AI- enabled DSS, satellite data, IoT, and dynamic models.",https://www.sih.gov.in/sih2024PS,environment
169,Ministry of Law and Justice,"AI-Driven Research Engine for Commercial Courts×Problem Statement DetailsProblem Statement ID1701Problem Statement TitleAI-Driven Research Engine for Commercial CourtsDescriptionBackground: With a view to address the issue of faster resolution of commercial disputes and for fostering a conducive environment for ease of doing business in India, the Commercial Courts Act, 2015 was enacted to provide for setting up of commercial courts. Over the years, various legislative and policy reforms have been undertaken by the Government of India with the active support of the judiciary to strengthen the commercial
dispute resolution machinery in the country. However, expediting the resolution of commercial disputes without addressing the broader issue of huge pendency in courts is unlikely to be successful. Accordingly, it is proposed to leverage the use of technology for expediting the process of dispute resolution.
? Description: A solution is invited to develop an AI-Driven Research Engine exclusively for commercial courts thereby easing the legal research process for judges and judicial officers ultimately contributing to faster dispute resolution.
o Role: The Research Engine must aggregate and process legal data sources, including case laws, statutory provisions, rules, etc. After aggregation and processing of data, it must extract relevant information, identify key legal principles, precedents, etc. and furnish results.
o Customization: The Research Engine must provide results in a customized manner i.e. as per the needs and demands of each commercial suit.
o Use of Predictive Analytics: The Research Engine must be capable of forecasting case outcomes based on historical trends and patterns.
o Data Localization: The Research Engine must ensure that the results meet the diverse requirements of different High Courts of the country and that adequate emphasis is laid on local laws, rules and procedures.
o Feasibility: The solution must be technically feasible as per the requirements of the Indian Judicial System.
o Reliability: The Research Engine must ensure that the results are relevant and reliable.
o User-Friendly: The Research Engine must be user-friendly.
o Multilingual: The Research Engine must ensure that it supports multiple languages.
o Ethical Concerns: Giving primacy to ethical concerns surrounding the use of artificial intelligence, measures must be taken to ensure that the engine works in a neutral and transparent manner as a ├ö├ç├┐facilitator├ö├ç├û and not a ├ö├ç├┐decision-maker├ö├ç├û.
? Expected Solution: Development of an ├ö├ç┬úArtificial Intelligence-Driven Research Engine for Commercial Courts├ö├ç├ÿ that may be considered for a pilot project for reforms associated with commercial courts with the ultimate objective of ease of doing business in India. The solution is expected to assist in expediting legal research and streamlining judicial processes.OrganizationMinistry of Law and JusticeDepartmentMinistry of Law and JusticeCategorySoftwareThemeSmart AutomationYoutube LinkDataset LinkContact info",Problem Statement ID,1701,Problem Statement Title,AI-Driven Research Engine for Commercial Courts,https://www.sih.gov.in/sih2024PS,environment
198,MathWorks India Private Limited,"SolarQuest: Innovate to Capture More Sunlight and Boost Energy×Problem Statement DetailsProblem Statement ID1731Problem Statement TitleSolarQuest: Innovate to Capture More Sunlight and Boost EnergyDescriptionAs the global shift towards renewable energy intensifies, solar trackers, which adjust solar panels to follow the sun├ö├ç├ûs path, are crucial for maximizing solar energy efficiency. Consequently, it is essential to design controllers for solar trackers that can optimize the angle of incidence between solar panels and sunlight. This tracking of the sun├ö├ç├ûs trajectory can be done accurately by managing at least one mechanical axis (azimuth, elevation, roll). As a preliminary step, a simulation-based control system, using tools such as SimscapeTM MultibodyTM and SimulinkÔö¼┬½, can be designed with a single-axis control based on location-specific solar paths. The workflow would involve integrating an electrical motor model (developed using tools like SimscapeTM ElectricalTM), designing a PID control system, developing an algorithm for optimal axis positioning, and validating the system through simulation. In the subsequent steps after validation, the motor control system can be deployed on low-cost hardware (e.g., using SimulinkÔö¼┬½ Support Package for Arduino) to demonstrate a prototype of this solar tracking mechanism.
References: 
1. Pre- Requisite: https://matlabacademy.mathworks.com/details/control-design-onramp-with-simulink/controls?s_eid=PSM_33221 
2. Optimizing Solar Array Performance Using MPPT (https://in.mathworks.com/videos/optimizing-solar-array-performance-using-mppt-1657880084126.html?s_tid=srchtitle_site_search_8_solar%20tracker) 
3. Pre- Requisite: Power Systems Simulation Onramp - CHAPTER 4 (System Integration) (https://matlabacademy.mathworks.com/details/power-systems-simulation-onramp/orps?s_eid=PSM_33222) 
4. Using the Worm and Gear Constraint Block - Solar Tracker (https://in.mathworks.com/help/sm/ug/using-the-worm-and-gear-constraint-block-solar-tracker.html)
5. Program the Device from Simulink | Arduino Light Meter Project, Part 2 (https://in.mathworks.com/videos/arduino-light-meter-project-part-2-program-the-device-from-simulink-106500.html)

Require MATLABÔö¼┬½ and SimulinkÔö¼┬½ PRODUCT LICENSE for SIH 2024, please send an email to 'ageethag@mathworks.com'.OrganizationMathWorks India Private LimitedDepartmentMathWorks India Private LimitedCategorySoftwareThemeClean & Green TechnologyYoutube LinkDataset LinkContact info",Problem Statement ID,1731,Problem Statement Title,SolarQuest: Innovate to Capture More Sunlight and Boost Energy,https://www.sih.gov.in/sih2024PS,environment
205,Indian Space Research Organization (ISRO),"Innovative applications of cloud-optimized geotiffs for INSAT satellite data×Problem Statement DetailsProblem Statement ID1738Problem Statement TitleInnovative applications of cloud-optimized geotiffs for INSAT satellite dataDescriptionDescription: Design and development of novel applications of Cloud Optimized GeoTIFFs for Efficient Streaming and On-the-Fly processing of INSAT Satellite Data.
Challenge: 
1. Data Acquisition and Preprocessing: Acquire Level 1 INSAT satellite data from relevant sources. Pre-process the data to ensure compatibility with the COG format.
2. COG Generation: Develop a pipeline to convert INSAT Level 1 data into Cloud Optimized GeoTIFFs. Ensure the pipeline supports multiple spectral bands and their efficient encoding.
3. Selective Streaming and Partial Download: Implement selective streaming capabilities to allow users to access specific data regions and bands without downloading entire files. Enable partial downloads for efficient data handling and reduced bandwidth usage.
4. On-the-Fly Manipulations: Develop tools for real-time manipulations of multiple spectral bands, including band arithmetic, colour adjustments, and custom visualizations. Integrate these tools into a user-friendly interface for seamless interactions.
5. System Integration and Testing: Integrate the COG generation pipeline and on-the-fly manipulation tools into a cloud-based system. Conduct thorough testing to ensure performance, reliability, and user experience.
Usage: To make INSAT Data Cloud compatible
Users: Meteorologist
Available Solutions (if Yes, reasons for not using them): No ( To be verified if existing tools exist )
Desired Outcome:
a. A fully functional system capable of generating and serving Cloud Optimized GeoTIFFs from INSAT data.
b. Tools for real-time manipulation of multiple spectral bands.
Enhanced accessibility and usability of INSAT satellite data for various applicationsOrganizationIndian Space Research Organization (ISRO)DepartmentIndian Space Research Organisation (ISRO)CategorySoftwareThemeClean & Green TechnologyYoutube LinkDataset LinkContact infohttps://vedas.sac.gov.in/en/sih2024.html",Problem Statement ID,1738,Problem Statement Title,Innovative applications of cloud-optimized geotiffs for INSAT satellite data,https://www.sih.gov.in/sih2024PS,environment
214,National Critical Information Infrastructure Protection Center (NCIIPC),"Improving Android security: Application security for mobile app on Android 14 or higher×Problem Statement DetailsProblem Statement ID1747Problem Statement TitleImproving Android security: Application security for mobile app on Android 14 or higherDescriptionBackground: It is a requirement for some organizations to add features by modifying an existing android application. The current security scenario requires a secure mobile operating environment and applications, allowing organizations to quickly modify the apps being used and also test their working on the latest versions of Android.
Description: A framework for adding new security features in an existing application is a valuable tool in the toolkit of android application developers. The challenge is to add new features and functionalities in the existing android applications for Android 14 or higher. This framework is required for adding layers of security to the app, known only to the user organization and catering to its specific requirements.
Expected Solution: Web based framework for adding security layers in given APKs while maintaining their original functionalities is required. Modified APK should be able to function on Android 14 having access to all the system resources which the original APK has. Solutions will be evaluated based on the capabilities like feature addition without application crash, retaining functionality of the original app and quality of implementation of the frameworkOrganizationNational Critical Information Infrastructure Protection Center (NCIIPC)DepartmentNational Critical Information Infrastructure Protection Center (NCIIPC)CategorySoftwareThemeMiscellaneousYoutube LinkDataset LinkContact info",Problem Statement ID,1747,Problem Statement Title,Improving Android security: Application security for mobile app on Android 14 or higher,https://www.sih.gov.in/sih2024PS,environment
218,Ministry of Communication,"Dashboard for Swachhta and LiFE. Develop a dashboard aimed at maintaining cleanliness and LiFE practices, integrating AI-powered image processing technology for effective monitoring of Swachhta and green practices adopted in post offices. The dashboard needs to be accessible from the Divisional Office offering surveillance capabilities and triggering alerts for deviation from prescribed Swachhta and Green Growth standards to prompt on ground intervention to guide the post office concerned to make necessary changes to conform to set expectations.×Problem Statement DetailsProblem Statement ID1751Problem Statement TitleDashboard for Swachhta and LiFE. Develop a dashboard aimed at maintaining cleanliness and LiFE practices, integrating AI-powered image processing technology for effective monitoring of Swachhta and green practices adopted in post offices. The dashboard needs to be accessible from the Divisional Office offering surveillance capabilities and triggering alerts for deviation from prescribed Swachhta and Green Growth standards to prompt on ground intervention to guide the post office concerned to make necessary changes to conform to set expectations.DescriptionBackground: The Department of Posts has implemented Swachhta Abhiyaan in its entire network with intense and focused efforts in the last 10 years. In 2023-24 it has introduced more systematic efforts towards institutionalization of Swachhta Protocols in its entire network and also introduced Lifestyle for Environment Practices through an introductory course on the iGOT portal of GOI and Mission Karmayogi portal of the Department. 
In the year 2024, the Department has prescribed a Swachhta Action Plan (SAP) 2024 template and provided a toolkit to the field units to adopt fit to local context activities under Swachhta Abhiyaan from the menu of activities prescribed for the entire network to choose from. Through the SAP 2024, the Department aims to institutionalize Swachhta protocols across the network with local ownership and adherence to basic standards. To ensure the outcome the solution to the Problem Statement may be useful for the Department to meet its objectives across the network. 
In addition to the Swachhta Action Plan and related behaviours and practices, the Department is also committed to adopt Lifestyle for Environment Practices for each of its administrative and operative units. Monitoring system for LiFE with modern and emerging technologies is also welcome to make the Swachhta focused solution above even more useful and powerful for the Department. 
Description: This is a problem statement seeking monitoring and data analytics solution using modern and emerging Industry 4.0 technologies. While the use of AI and pictorial data based automated monitoring is at the heart of the problem, the team working on this problem can choose any combination of available technologies and tools to devise a simple to use and adopt solution to enable its mass adoption across the post office network. 
Expected Solution: The expected solution is pictorial data and analytics based on AI. Cameras to capture pictorial data are available in various locations in the DoP and actual or dummy data for the solution will be provided. The geolocation and timestamp on the pictorial data is also to be taken as a fundamental data point to capture in the spirit of the outcome expected towards improved internal governance of Swachhta and green, LiFE, practices being adopted by the Department. The solution developed here could have a wide application based on the scalability that is built in by the teams working on this problem statement.OrganizationMinistry of CommunicationDepartmentDepartment of PostsCategorySoftwareThemeClean & Green TechnologyYoutube LinkDataset LinkContact info",Problem Statement ID,1751,Problem Statement Title,"Dashboard for Swachhta and LiFE. Develop a dashboard aimed at maintaining cleanliness and LiFE practices, integrating AI-powered image processing technology for effective monitoring of Swachhta and green practices adopted in post offices. The dashboard needs to be accessible from the Divisional Office offering surveillance capabilities and triggering alerts for deviation from prescribed Swachhta and Green Growth standards to prompt on ground intervention to guide the post office concerned to make necessary changes to conform to set expectations.",https://www.sih.gov.in/sih2024PS,environment
